Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees and/or spread) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees and/or spread) (USD)
968acb88-cca5-5b0b-9bce-721d8807739c,Buy,2017-06-30T16:41:09Z,ETH,1,307.18,Coinbase,,,
9006dd82-cc1a-501c-a946-8c1f28a3000f,Buy,2017-12-03T18:49:39Z,ETH,0.74831266,375,Coinbase,,,
98f6ff07-f96b-510c-b3e1-1c448c589b1f,Send,2017-12-07T01:39:19Z,,,,,ETH,0.010882,5.4532686911911927291282
7a2646bc-ae37-515f-8161-39ea5b2f9c05,Send,2017-12-07T01:45:12Z,,,,,ETH,0.736903,369.2823064091953221533503
de50337f-bbb6-5940-9ab4-85f34ae71272,Buy,2017-12-10T17:30:12Z,ETH,0.40921425,200,Coinbase,,,
472dfb1a-0216-5ab0-80e8-85e69e24d9f6,Send,2017-12-10T17:49:13Z,,,,,ETH,0.3339261,163.210089670573929399738118
9c3d3563-46a3-5b86-828b-0d5c5b90fe7e,Buy,2017-12-13T18:42:27Z,ETH,0.22500551,100,Coinbase,,,
fa2e2006-aebc-58ed-9f43-7c34cf6dff24,Send,2017-12-13T20:49:39Z,,,,,ETH,0.38967221,164.347551619239555678029306
96e126db-6414-5fce-a09d-451fc66d6519,Send,2017-12-13T22:06:29Z,,,,,ETH,0.38967221,119.6995094678
101c9133-da9c-533c-8912-e1be0f4e008e,Buy,2017-12-14T01:44:41Z,ETH,0.22038211,100,Coinbase,,,
19973a49-bd48-5124-bbb7-101c11d28edd,Buy,2017-12-14T17:48:51Z,ETH,0.1846743,135,Coinbase,,,
ed2b6c9c-d396-5e11-887f-fdbb6af74685,Send,2017-12-14T18:15:34Z,,,,,ETH,0.1856844,135.45834028905522322626093
faae346d-3b17-5e45-9602-a1b6e71de69c,Send,2017-12-17T17:00:33Z,,,,,ETH,0.552681,201.92751525914477678800111
5b67a0ed-c69c-5131-9387-fad3c641a5dd,Buy,2017-12-17T18:50:07Z,ETH,0.26036453,200,Coinbase,,,
06dc4751-b9c5-5097-8bdf-4e9f930d1609,Send,2017-12-17T19:05:37Z,,,,,ETH,0.272541,203.740368054599999988377
152e3852-0d2e-5966-bb96-2e791a231475,Buy,2017-12-19T20:31:17Z,ETH,0.77800293,550,Coinbase,,,
74926500-4447-5a53-8f46-6deeafff1368,Buy,2017-12-20T19:37:48Z,ETH,0.13986635,100,Coinbase,,,
a6ca6a6e-0798-5bda-8cab-2bd4a8f6d4fb,Buy,2017-12-21T01:59:48Z,ETH,0.35729099,300,Coinbase,,,
c7e66952-6468-5a39-b7e6-a8b23661903a,Buy,2017-12-21T02:08:47Z,ETH,0.1301592,100,Coinbase,,,
43e2f260-630c-5e2c-889f-3936749e8863,Send,2017-12-21T03:30:13Z,,,,,ETH,0.37652,314.773454354359891577331283
8c9eb4fe-5a78-5c6c-b7d3-77fcb9b171e0,Send,2017-12-21T03:45:14Z,,,,,ETH,0.56355,406.323917348340508279223902
a2c486c4-094d-5e0c-9837-0f5e258a279b,Buy,2017-12-21T05:46:40Z,ETH,0.53151812,466,Coinbase,,,
b2d5548f-cdec-5bcd-8a91-0db30ec49d45,Sell,2017-12-22T07:03:04Z,,,,,ETH,1.17275903,757.529999999999999999114709
1c393d81-617e-5c09-acfa-11e9274dd90a,Receive,2017-12-22T07:23:16Z,ETH,1.53348176,0,Not available,,,
d92702da-fa2d-56a2-97ba-c7778081a7dd,Sell,2017-12-22T07:24:42Z,,,,,ETH,1.53348176,954.50999999999999995146464
cb086134-2a26-5d53-998d-9eb2b42eb6e2,Buy,2017-12-22T17:09:43Z,ETH,0.5414308,400,Coinbase,,,
2bafe80b-6512-5736-b9e9-7099a11ea3ba,Buy,2017-12-22T17:12:07Z,ETH,0.27196528,200,Coinbase,,,
2766cfc1-cea8-5108-bfcd-4790abdf3ea2,Buy,2017-12-22T18:53:58Z,BTC,0.01176907,233,Coinbase,,,
8c3200ac-f062-5391-964e-37b0ccce87d7,Buy,2017-12-22T21:56:16Z,ETH,2.39101639,1712.04,Coinbase,,,
420811ed-5690-5b6b-85b8-3411a64cdd67,Send,2017-12-23T16:36:02Z,,,,,ETH,1.50063,1092.080257298779955225831064
177d0ca9-b0dc-5e76-91fb-b735e07d6702,Send,2017-12-25T05:59:29Z,,,,,ETH,1.200441,859.5520374663763805892903
f2bdca68-7ba2-5250-a018-8b787a605dbe,Buy,2017-12-28T19:35:18Z,ETH,0.12252464,100,Coinbase,,,
2acef867-ca57-5451-be96-7a8eceeb73ab,Buy,2017-12-29T02:36:42Z,ETH,0.12005592,100,Coinbase,,,
796ff474-4020-5ed8-8e6d-d5be2cb36cb3,Send,2017-12-31T07:56:29Z,,,,,ETH,0.70716,532.652920232637970323550728
21bb4033-02d8-5582-a734-16f38406324a,Buy,2018-01-03T18:35:26Z,ETH,0.53370354,500,Coinbase,,,
292467ba-f65e-5f81-bc70-3953993a4c61,Send,2018-01-03T23:07:06Z,,,,,ETH,0.546591,509.227810863479693686245024
a1280a12-df8f-5727-9ad3-8fe42290c207,Buy,2018-01-06T20:56:20Z,LTC,1.6875167,500,Coinbase,,,
e2099cd0-345d-50e3-9b7a-07174aa4747b,Send,2018-01-06T21:08:50Z,,,,,LTC,0.01026548,3.041593603192193593798872
a5aabbab-d33b-5045-a7bb-ffe778d89a87,Send,2018-01-06T21:26:23Z,,,,,LTC,1.67725122,496.958406396807806325212508
e0749a59-8eec-56be-8ae7-b3dab46793f1,Buy,2018-01-13T00:11:18Z,ETH,0.37763664,500,Coinbase,,,
06177fe9-90f9-5309-901d-c10c2ad72c9b,Send,2018-01-13T00:22:52Z,,,,,ETH,0.40351121,518.526974138726000128555711
798e2b78-aff0-53c6-a78a-fec12f16914c,Sell,2018-01-15T11:41:37Z,,,,,BTC,0.01176907,156.639999999999999999469603
e0bdb64d-43ee-50a5-9f01-fbfc9a84f288,Buy,2018-01-15T11:42:12Z,LTC,2.0102011,500,Coinbase,,,
c03bebd0-475e-5bb9-94b6-c25fd18aefc9,Buy,2018-01-15T16:53:15Z,LTC,0.63448528,156.64,Coinbase,,,
e0f32137-f5da-5b10-8cad-3f2e28f53598,Send,2018-01-15T17:12:23Z,,,,,LTC,2.64468638,656.640000000000000032730492
a5f3b252-b236-5475-98f7-3e2678d6ee79,Buy,2018-01-18T04:34:45Z,ETH,0.21659169,300,Coinbase,,,
fc734263-48c9-5936-a6f4-a4fab8b19430,Send,2018-01-18T05:16:49Z,,,,,ETH,0.21659169,300.000000000000000007919283
617cebb1-04a6-534f-a083-9b64deebf45f,Buy,2018-01-24T05:35:23Z,ETH,0.29266602,300,Coinbase,,,
854238bb-ab8a-5d3a-8ad6-ea78146db934,Buy,2018-02-19T18:40:57Z,ETH,0.15545347,150,Coinbase,,,
0cc0981b-1bd0-5780-89fb-0cec66039e51,Send,2018-02-19T18:55:31Z,,,,,ETH,0.44811949,450.000000000000000009803628
92967de0-c0f5-5b0e-a577-137f6c99614f,Buy,2018-02-26T19:17:55Z,ETH,0.16964399,150,Coinbase,,,
3c2e72ea-6934-5d0d-b8ed-baecb3926409,Buy,2018-03-05T19:03:52Z,ETH,0.1700914,150,Coinbase,,,
48936c61-c9b0-5832-a2f0-7cd510680f69,Buy,2018-03-12T19:32:25Z,ETH,0.214576,150,Coinbase,,,
c0c00122-0b4f-5a61-9afd-d0b07c442a34,Buy,2018-03-19T19:03:13Z,ETH,0.27542573,150,Coinbase,,,
105c69ce-6c69-5a69-a322-5bbb6293d845,Buy,2018-03-26T19:01:28Z,ETH,0.31129069,150,Coinbase,,,
b02484aa-ab42-5838-9abc-6bb0d74a79e0,Buy,2018-04-02T18:54:34Z,ETH,0.38042862,150,Coinbase,,,
485c7aea-c54b-5853-bb4d-3e94b80f7681,Buy,2018-04-09T18:49:59Z,ETH,0.36337094,150,Coinbase,,,
fe8eadd0-e4c1-5a1b-9652-92713af447a0,Buy,2018-04-16T19:14:43Z,ETH,0.28876857,150,Coinbase,,,
ba692c48-4a33-5e66-8c23-c13a35d5f7b2,Buy,2018-06-21T03:21:47Z,LTC,0.48483857,50,Coinbase,,,
cc38b532-4dd5-5920-9453-3506c4729c80,Buy,2018-06-21T03:38:38Z,LTC,1,102.81,Coinbase,,,
d664f4b5-b9a8-5fbc-b0e3-3189390dca4b,Send,2018-06-21T03:57:05Z,,,,,LTC,1.484799,152.805931808299999996601352
0988330f-65cf-5471-be2d-d193c5da613a,Buy,2018-06-28T04:21:42Z,LTC,0.60142445,50,Coinbase,,,
f4f5f8d5-ba09-5c62-bd3a-c069238a6dff,Buy,2018-07-05T04:21:49Z,LTC,0.5591192,50,Coinbase,,,
9ac0e088-ebdc-52bd-9639-bec8fb084060,Buy,2018-07-12T04:14:27Z,LTC,0.61743756,50,Coinbase,,,
7421a20d-ad01-5602-9244-8f1abc53f7a8,Buy,2018-07-19T03:44:49Z,LTC,0.55502666,50,Coinbase,,,
a54c54e6-f5b7-5adc-90e5-a8c01bad7a01,Buy,2018-07-26T03:50:06Z,LTC,0.55072261,50,Coinbase,,,
d9ea9996-30cd-53a0-b53e-8ebd0dc131dd,Buy,2018-08-02T03:47:32Z,LTC,0.61521113,50,Coinbase,,,
8c7609b0-16ca-5f12-987f-c68d56de25bd,Buy,2018-08-09T04:03:19Z,LTC,0.76177873,50,Coinbase,,,
e0e59da8-b175-5d11-abac-1d5bf1d1e0e6,Buy,2018-08-16T03:28:37Z,LTC,0.86229502,50,Coinbase,,,
e712b41c-b3a2-5291-8670-a65b2849cbbf,Buy,2018-08-23T03:50:10Z,LTC,0.86541928,50,Coinbase,,,
17b33175-502a-50ec-8754-fb8c464b12ee,Buy,2018-08-30T04:22:50Z,LTC,0.78108477,50,Coinbase,,,
4472fe9c-5918-5291-afe4-0c89178b584f,Send,2018-09-03T18:41:40Z,,,,,LTC,5.13585042,405.454971758323868395792687
f8f5e9af-aba7-516b-b65d-f76ea4b79178,Buy,2018-09-06T03:43:31Z,LTC,0.86447963,50,Coinbase,,,
c3a1d38e-ad33-57d7-9c4e-539a8212d238,Buy,2018-09-13T04:01:53Z,LTC,0.90100234,50,Coinbase,,,
ebc81542-8c08-5d22-afc1-55210a998703,Buy,2018-09-20T04:12:37Z,LTC,0.88695032,50,Coinbase,,,
8ea02edb-76cc-5888-b768-eac47a6963a0,Buy,2018-09-27T03:59:56Z,LTC,0.8171595,50,Coinbase,,,
86f30dd8-7b62-5009-8e66-bb803fd9efe2,Send,2018-10-17T06:45:30Z,,,,,LTC,5.10308334,294.537053734352730457888847
1f6f7107-e60e-537b-b559-24c5551a7b27,Buy,2018-10-26T15:03:14Z,ETH,1.83560657,375.5,Coinbase,,,
0d1c4925-ff32-526b-8da4-e4b8b956fc5c,Send,2018-10-26T15:24:31Z,,,,,ETH,1.850294,1072.524598701327991580817308
ae4a8f7f-25f6-5e39-88bf-ef0996c11bac,Buy,2018-11-16T04:47:30Z,ETH,1.38196029,250,Coinbase,,,
60d44fba-ba86-5bc8-b7dc-ffebaf7da2ab,Send,2018-11-16T05:09:44Z,,,,,ETH,1.12786,292.059444779187552632649816
2dc1f40b-800b-5b10-935d-437630f5b28b,Send,2018-11-16T23:16:20Z,,,,,ETH,0.96856858,198.13477884315918520443005
ead6731a-89d0-58ce-aeeb-d1f08d6ce75d,Send,2018-11-20T14:19:53Z,,,,,ETH,1.444415,262.776615316577581993321314
e5ce5586-ca9a-5a6e-a213-051ed3377383,Buy,2018-11-22T06:34:04Z,ETH,3.63114852,510,Coinbase,,,
38fb3bd5-2383-578a-8605-4746841a7889,Send,2018-11-22T06:52:04Z,,,,,ETH,3.631089,509.992660505620278807344086
48a73961-155f-5f24-b9ac-a91bb24f9d48,Buy,2018-11-24T23:42:48Z,ETH,1.80227216,210,Coinbase,,,
f6c0007b-cb2b-522c-8a18-99fb9c675e96,Send,2018-11-24T23:58:58Z,,,,,ETH,1.80221,209.994785127428374476988576
