id,type,created_at,completed_at,account_id,user_id,amount,details,canceled_at,processed_at,user_nonce,idem,profile_id,currency
18453086-9ad2-4ee6-be2b-2d42fa3d844a,withdraw,2021-03-11 07:23:23.622678+00,2021-03-11 07:28:43.545284+00,8709c1b8-5431-4265-ad87-f5ba2f1120ba,52e6af9560df9f1c7a0000ca,579.44387326,"{'fee': '0.44387326', 'subtotal': '579', 'sent_to_address': '0x7039813983ba47a5A46B19f3a269aeF5C6c75ABF', 'coinbase_account_id': '1aa7682b-9dee-50ff-9354-078de817b37d', 'coinbase_withdrawal_id': '6049c56da33b5d00ad1b4f53', 'coinbase_transaction_id': '6049c56ce9916e0001357d92', 'crypto_transaction_hash': 'e798826a91fadc608e1296fd9b573bb22f54ecf32c24572d348bba025fb5da17', 'coinbase_payment_method_id': ''}",,2021-03-11 07:28:43.551537+00,1615447291002,,827349a7-96d0-455b-8e05-0f93ea171963,BNT
8b5ecdd2-6a20-4bee-81e7-66cd9bacf212,deposit,2021-03-07 02:32:20.223811+00,2021-03-07 02:32:26.679928+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,5000.00000000,"{'is_instant_usd': 'true', 'coinbase_payout_at': '2021-03-07T02:32:20Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': '3bcef204-4878-593d-ad1f-80105107a5df', 'coinbase_transaction_id': '60443b3a9186b0000f286219', 'coinbase_payment_method_id': '6445a662-f3e8-5b36-aeee-587c665950ea', 'coinbase_payment_method_type': 'ach_bank_account'}",,2021-03-07 02:32:26.679928+00,1615084335300,,827349a7-96d0-455b-8e05-0f93ea171963,USD
627df7d0-4520-4650-8145-609ad700cbb3,deposit,2021-03-05 21:25:14.291078+00,2021-03-05 21:25:20.37142+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,5000.00000000,"{'is_instant_usd': 'true', 'coinbase_payout_at': '2021-03-05T21:25:14Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': 'b9a1e1b1-c871-56b2-a80b-3f396f808aa2', 'coinbase_transaction_id': '6042a1c015b73d000d3e43eb', 'coinbase_payment_method_id': '6445a662-f3e8-5b36-aeee-587c665950ea', 'coinbase_payment_method_type': 'ach_bank_account'}",,2021-03-05 21:25:20.37142+00,1614979509484,,827349a7-96d0-455b-8e05-0f93ea171963,USD
e77dcfa4-76b0-4cfa-ab03-529b900d742c,withdraw,2021-02-12 22:56:23.063723+00,2021-02-13 01:18:54.721583+00,8709c1b8-5431-4265-ad87-f5ba2f1120ba,52e6af9560df9f1c7a0000ca,558.65976116,"{'fee': '2.20081316', 'subtotal': '556.458948', 'sent_to_address': '0x7039813983ba47a5A46B19f3a269aeF5C6c75ABF', 'coinbase_account_id': '1aa7682b-9dee-50ff-9354-078de817b37d', 'coinbase_withdrawal_id': '60270799ba66160c4f9aa94b', 'coinbase_transaction_id': '60270797e17d5b0001eca363', 'crypto_transaction_hash': '44371c4d8fed984a520eeaae01b8d4206a24bf2d42e8973a0d975206007c6b81', 'coinbase_payment_method_id': ''}",,2021-02-13 01:18:54.730747+00,1613170291988,,827349a7-96d0-455b-8e05-0f93ea171963,BNT
6441477f-b578-4035-b666-7278cf7de8be,withdraw,2021-02-12 22:50:51.082134+00,2021-02-13 01:00:37.600428+00,0d6efcbe-c299-49fc-b37a-809efb60f536,52e6af9560df9f1c7a0000ca,8000.00000100,"{'fee': '7.830117', 'subtotal': '7992.169884', 'sent_to_address': '0xBfc5F742b3961ec34C3d72B6B10B681E0d6ad2CA', 'coinbase_account_id': '49d045ea-75b2-57ef-b1c4-d690596f0411', 'coinbase_withdrawal_id': '6027064db155500af11e09be', 'coinbase_transaction_id': '6027064b08e9c40001109596', 'crypto_transaction_hash': 'a146ea5923001d9ddf2b1ce8f58796ab8a0ab13e6a9b87c35606a56acba5a941', 'coinbase_payment_method_id': ''}",,2021-02-13 01:00:37.608773+00,1613170174328,,827349a7-96d0-455b-8e05-0f93ea171963,USDC
b9bf1be1-9855-46f0-9132-0813216f9f08,deposit,2021-02-08 18:30:13.622569+00,2021-02-08 18:30:19.842975+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,10000.00000000,"{'is_instant_usd': 'true', 'coinbase_payout_at': '2021-02-08T18:30:13Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': '8021fb7c-c475-52a9-ab43-c7b07f26fbca', 'coinbase_transaction_id': '6021833b5706dd000a120434', 'coinbase_payment_method_id': '6445a662-f3e8-5b36-aeee-587c665950ea', 'coinbase_payment_method_type': 'ach_bank_account'}",,2021-02-08 18:30:19.842975+00,1612809007792,,827349a7-96d0-455b-8e05-0f93ea171963,USD
8b69d6d9-c83b-41c1-808b-d41c3b986f9d,withdraw,2021-01-15 03:48:21.173763+00,2021-01-15 03:53:04.836718+00,0d6efcbe-c299-49fc-b37a-809efb60f536,52e6af9560df9f1c7a0000ca,9999.99999900,"{'fee': '1.587659', 'subtotal': '9998.41234', 'sent_to_address': '0xBfc5F742b3961ec34C3d72B6B10B681E0d6ad2CA', 'coinbase_account_id': '49d045ea-75b2-57ef-b1c4-d690596f0411', 'coinbase_withdrawal_id': '60011086bd3502104a6f1f87', 'coinbase_transaction_id': '60011085c7741500016da840', 'crypto_transaction_hash': '80b827e9eb74791aed9c67488c097a60fe61a5f77aff1e0c805dd928b31e5f9e', 'coinbase_payment_method_id': ''}",,2021-01-15 03:53:04.842355+00,1610682448227,,827349a7-96d0-455b-8e05-0f93ea171963,USDC
dcc06061-bb6c-4975-bac5-afbea3d6006c,withdraw,2021-01-10 15:59:51.655816+00,2021-01-10 16:00:05.399694+00,48467eb1-ef2b-4af6-893f-e21c218f76bf,52e6af9560df9f1c7a0000ca,0.05118927,"{'fee': '0.00003499', 'subtotal': '0.05115428', 'sent_to_address': '3KN8fbmTSiLqmykfxUPmSMtRYdiSnvvadw', 'coinbase_account_id': '8accb733-7f09-5e4f-b3d0-62027da985bb', 'coinbase_withdrawal_id': '5ffb247c832f290832bb48ca', 'coinbase_transaction_id': '5ffb2477bff19f0001655062', 'crypto_transaction_hash': '03a7e35b4ea950e829fc23a720e55521c76bc59e2ad6c01311da954e45da59a5', 'coinbase_payment_method_id': ''}",,2021-01-10 16:00:05.409824+00,1610294314631,,827349a7-96d0-455b-8e05-0f93ea171963,BTC
c2e25be7-183a-4c5a-a702-2fb875fa57e9,deposit,2021-01-10 15:02:26.869492+00,2021-01-10 15:02:34.471929+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,10000.00000000,"{'is_instant_usd': 'true', 'coinbase_payout_at': '2021-01-10T15:02:27Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': '539801ae-e3d6-58f4-bfd2-32eecb253f19', 'coinbase_transaction_id': '5ffb170a263798000dd36741', 'coinbase_payment_method_id': '6445a662-f3e8-5b36-aeee-587c665950ea', 'coinbase_payment_method_type': 'ach_bank_account'}",,2021-01-10 15:02:34.471929+00,1610290458131,,827349a7-96d0-455b-8e05-0f93ea171963,USD
0df37adf-c6c6-4a16-8ab0-1c8bcc11bb87,deposit,2020-02-14 18:40:21.441594+00,2020-02-21 18:40:26.248306+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,500.00000000,"{'coinbase_payout_at': '2020-02-22T18:40:21Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': '79765888-e0bb-52c3-b6b8-d26df8a228b7', 'coinbase_transaction_id': '5e502419857e8f0012ac7e9e', 'coinbase_payment_method_id': '6445a662-f3e8-5b36-aeee-587c665950ea', 'coinbase_payment_method_type': 'ach_bank_account'}",,2020-02-21 18:40:26.248306+00,,,827349a7-96d0-455b-8e05-0f93ea171963,USD
30c96526-1793-4d33-817b-43d81aab02c1,withdraw,2020-01-31 07:39:05.140353+00,2020-01-31 07:39:05.896167+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,2809.61000000,"{'coinbase_payout_at': '2020-02-06T07:39:05Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_withdrawal_id': '2309d45d-e7a2-5ee0-a813-3e9d72d3e217', 'coinbase_transaction_id': '5e33d99995789c37a266b7de', 'coinbase_payment_method_id': '6445a662-f3e8-5b36-aeee-587c665950ea', 'coinbase_payment_method_type': 'ach_bank_account'}",,,,,827349a7-96d0-455b-8e05-0f93ea171963,USD
ff275b08-6eef-4a1a-8e6d-744ae6ef663f,deposit,2019-11-12 02:11:34.237797+00,2019-11-12 02:18:40.650026+00,18f6683f-65f0-425d-86ce-f8be39c22b61,52e6af9560df9f1c7a0000ca,15.45641731,"{'crypto_address': '0xE4dB43FA87ECb3Ac4D2DB142Ddde1CB6347f2437', 'destination_tag': None, 'coinbase_account_id': 'c162e562-8c78-5d39-834f-89e0ccd18e48', 'destination_tag_name': '', 'crypto_transaction_id': '5dca14d5efd9be04776d64e0', 'coinbase_transaction_id': '5dca1680df9f2a0008df3cf8', 'crypto_transaction_hash': '768e7a48fdb621e21fa63c9be585e243e1f167970401f43e6a635b479f74eca8'}",,2019-11-12 02:18:40.650026+00,,,827349a7-96d0-455b-8e05-0f93ea171963,ETH
